Phase,Foot_X,Foot_Y,Knee_Angle,Ankle_Angle
6.060606060606060774e-01,1.161795623497842711e-01,-1.047921265055777651e+00,-1.547218057625566676e-02,-1.452002342399622226e+00
6.161616161616162435e-01,1.184876586705789492e-01,-1.045333310859779541e+00,3.146034120060236736e-03,-1.459619963887255567e+00
6.262626262626262985e-01,1.200400098598783938e-01,-1.051499002849108688e+00,-2.969670452123850286e-03,-1.455544792868456838e+00
6.363636363636364646e-01,1.259953396264792136e-01,-1.056760468778143558e+00,7.786600369848446432e-03,-1.456388345037114007e+00
6.464646464646465196e-01,1.217362512939813707e-01,-1.066169931147673555e+00,1.885500066446482237e-03,-1.458046635970665417e+00
6.565656565656565746e-01,1.202344819071593518e-01,-1.081686924921967830e+00,-1.178488884260212727e-02,-1.453774866501084562e+00
6.666666666666667407e-01,1.281920969486237682e-01,-1.091105341911315918e+00,-1.367974281311027003e-02,-1.446607351303100808e+00
6.767676767676767957e-01,1.344370624667539094e-01,-1.076604637391544328e+00,-2.660176750828628211e-03,-1.445196918806634923e+00
6.868686868686869618e-01,1.378086732480268972e-01,-1.056200769718979915e+00,-9.464027761312557990e-03,-1.435862286294930401e+00
6.969696969696970168e-01,1.367825495930745372e-01,-1.044529650755877448e+00,3.467861406667478805e-03,-1.442542435364724485e+00
7.070707070707071829e-01,1.315893898743791535e-01,-1.037951346771371020e+00,6.571941782490746398e-02,-1.480869448833284086e+00
7.171717171717172379e-01,1.335088830661645964e-01,-1.017016987927359839e+00,3.499145726235033255e-02,-1.459413704222493946e+00
7.272727272727272929e-01,1.450574313272743332e-01,-1.011192935503478996e+00,-1.657206498250434010e-03,-1.427505138062383327e+00
7.373737373737374590e-01,1.574604434634351013e-01,-1.037937953713665040e+00,4.831487115016072642e-02,-1.446653620860251843e+00
7.474747474747475140e-01,1.558935500902555171e-01,-1.042573408835752113e+00,2.930804949792593928e-02,-1.438324766581305703e+00
7.575757575757576801e-01,1.462845312834092359e-01,-1.025587089073146441e+00,1.451584471348356734e-03,-1.429968393680862260e+00
7.676767676767677351e-01,1.419865584231851663e-01,-1.012181692483782980e+00,1.467806797904626370e-02,-1.439672991871013163e+00
7.777777777777777901e-01,1.491286357924582195e-01,-1.015025827259693036e+00,-7.584725910109194232e-03,-1.421137221534369388e+00
7.878787878787879562e-01,1.518536555358673268e-01,-1.003631767333346581e+00,-3.870184285276104946e-02,-1.399100591584363729e+00
7.979797979797980112e-01,1.526433530304520392e-01,-9.778101859456406197e-01,-4.795023827394469945e-02,-1.388270585439237204e+00
8.080808080808081773e-01,1.654137051297302208e-01,-9.653711986550210788e-01,-3.468778713802347230e-02,-1.380795678439741714e+00
8.181818181818182323e-01,1.701869403105162881e-01,-9.572129537909018770e-01,-9.082815250631344831e-03,-1.389508901076050629e+00
8.282828282828283983e-01,1.706846658100262260e-01,-9.472243165215517013e-01,1.020220715166670657e-02,-1.398537776033267122e+00
8.383838383838384534e-01,1.775744166804461566e-01,-9.417208357786361894e-01,1.225477851391710941e-02,-1.391795825699481570e+00
8.484848484848485084e-01,1.756527925127484291e-01,-9.533281731329830144e-01,8.161067780848890035e-03,-1.393556045941005239e+00
8.585858585858586745e-01,1.701883119600084704e-01,-9.558946027513405275e-01,-1.864426352772173903e-02,-1.383172539417674818e+00
8.686868686868687295e-01,1.721803703522556683e-01,-9.350479385115814113e-01,-5.276764708294706674e-02,-1.356097050629561096e+00
